Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,2,0,1.000,71,50,21,10.5,1.3,11.8,4.5,7.4
New England Patriots,1,1,.500,46,47,-1,-0.5,-15.6,-16.1,-0.1,-16.0
Miami Dolphins,0,2,.000,35,66,-31,-15.5,-7.6,-23.1,-14.2,-8.9
New York Jets,0,2,.000,42,64,-22,-11.0,-0.3,-11.3,-9.2,-2.1
Cincinnati Bengals,2,0,1.000,48,43,5,2.5,1.5,4.0,9.9,-5.9
Baltimore Ravens,1,1,.500,81,58,23,11.5,5.8,17.3,27.3,-10.0
Pittsburgh Steelers,1,1,.500,51,63,-12,-6.0,-6.4,-12.4,7.0,-19.5
Cleveland Browns,0,2,.000,33,58,-25,-12.5,9.0,-3.5,-16.4,12.9
Indianapolis Colts,2,0,1.000,62,36,26,13.0,-13.3,-0.3,4.1,-4.4
Jacksonville Jaguars,1,1,.500,53,41,12,6.0,-2.9,3.1,-2.4,5.5
Tennessee Titans,0,2,.000,31,53,-22,-11.0,5.0,-6.0,-5.5,-0.6
Houston Texans,0,2,.000,28,34,-6,-3.0,8.9,5.9,-8.3,14.2
Los Angeles Chargers,2,0,1.000,47,30,17,8.5,-3.6,4.9,2.6,2.3
Las Vegas Raiders,1,1,.500,29,33,-4,-2.0,-4.9,-6.9,-13.9,7.1
Denver Broncos,1,1,.500,48,41,7,3.5,-2.9,0.6,-0.1,0.7
Kansas City Chiefs,0,2,.000,38,47,-9,-4.5,5.5,1.0,5.2,-4.1
Philadelphia Eagles,2,0,1.000,44,37,7,3.5,1.4,4.9,-8.7,13.6
Washington Commanders,1,1,.500,39,33,6,3.0,11.3,14.3,1.7,12.6
Dallas Cowboys,1,1,.500,60,61,-1,-0.5,3.3,2.8,15.2,-12.5
New York Giants,0,2,.000,43,61,-18,-9.0,10.1,1.1,0.1,1.0
Green Bay Packers,2,0,1.000,54,31,23,11.5,10.3,21.8,13.7,8.1
Minnesota Vikings,1,1,.500,33,46,-13,-6.5,-8.6,-15.1,-14.8,-0.3
Detroit Lions,1,1,.500,65,48,17,8.5,0.7,9.2,2.5,6.7
Chicago Bears,0,2,.000,45,79,-34,-17.0,-2.5,-19.5,3.9,-23.4
Tampa Bay Buccaneers,2,0,1.000,43,39,4,2.0,5.9,7.9,10.0,-2.1
Atlanta Falcons,1,1,.500,42,29,13,6.5,-3.1,3.4,-1.9,5.3
New Orleans Saints,0,2,.000,34,46,-12,-6.0,0.6,-5.4,-10.2,4.8
Carolina Panthers,0,2,.000,32,53,-21,-10.5,4.1,-6.4,-4.5,-1.9
Arizona Cardinals,2,0,1.000,47,35,12,6.0,-7.6,-1.6,0.0,-1.6
Los Angeles Rams,2,0,1.000,47,28,19,9.5,-0.2,9.3,8.5,0.8
San Francisco 49ers,2,0,1.000,43,34,9,4.5,-1.8,2.7,7.3,-4.7
Seattle Seahawks,1,1,.500,44,34,10,5.0,-3.2,1.8,-13.3,15.2
